1.260000 +103.80000
0.001000 0.001000
310.767900 45.343100 310.768000 45.343000
310.475000 50.316100 310.547000 50.316400
310.475000 55.316100 310.508000 55.279800
315.475000 45.315800 315.381000 45.270600
315.475000 50.316100 315.436000 50.274700
315.475000 55.316100 315.509000 55.275900
320.475400 45.315800 320.381000 45.267400
320.475000 50.316100 320.437000 50.270900
320.475000 55.316100 320.510000 55.272600
325.475000 45.315800 325.380000 45.263800
325.475000 50.316100 325.436000 50.267200
